,state,year,c_ce_i,c_ce_i_r,total_current_assets,current_liabilities,noncurrent_liabilities,unrestricted_net_assets,restricted_net_assets,total_net_assets,total_assets,total_liabilities,total_taxes,total_revenue,total_expenses,noncurrent_liability,change_in_net_assets,population,uaal_pension_(risk-free),uaal_opeb,primary_gov_debt,personal_income,1.cash_ratio,2.quick_ratio,3.current_ratio,4.op_ratio,5._surplus_percap,6.net_asst_ratio,7.long_term_liab,8.lt_percapita,9.tax_income_ratio,10.rev_income_ratio,11.exp_income_ratio,12._pension_income_ratio,13._opeb_income_ratio,cashrank,lrrank,budgetrank,servicelvlrank,trustrank,overallrank,%_working_pop_age_(15-64),est_working_pop,person_income_per_capita
0,Alabama,2006,8833844,9839963,10964798,1916890,1892574,788480,7662677,28404151,32213615,3809464,8489503571,21376869048,19539717857,1892573810,1837296429,4628981,27799482577,18614526539,"1,585,221,429",1.72565E+11,4.61,5.13,5.72,1.09,396.91,0.26,0.06,408.85,0.05,0.12,0.11,0.16,0.11,2,5,15,15,37,3,0.673,3115304.213,55392.54492
1,Alaska,2006,48256838,49666750,60320527,13015899,2009314,9380565,37261665,52900149,67925362,15025213,2878002381,13211904762,7865476190,2009314286,5346976190,675302,12263807312,14532727067,"1,870,745,238",32836234524,3.71,3.82,4.63,1.68,"7,917.90",0.69,0.03,2975.43,0.09,0.4,0.24,0.37,0.44,4,2,1,50,50,1,0.673,454478.246,72250.39881
2,Arizona,2006,5963508,7059144,7771343,3211195,7415246,1173256,5906337,23773075,34399517,10626442,16250119048,31650572619,27939922619,7415246429,3705803571,6029141,28619743775,845949549,"6,763,627,381",2.49096E+11,1.86,2.2,2.42,1.13,614.65,0.21,0.22,1229.9,0.07,0.13,0.11,0.11,0,20,19,7,24,19,22,0.673,4057611.893,61389.82982
3,Arkansas,2006,4186876,5558567,5779994,1517469,4475565,3022929,1847532,15755886,21748920,5993035,7651740476,16462564286,16101307143,4475565476,1115908333,2821761,15633940303,0,"2,919,342,857",98453957143,2.76,3.66,3.81,1.02,395.47,0.22,0.21,1586.09,0.08,0.17,0.16,0.16,0,5,23,34,42,28,24,0.673,1899045.153,51843.9264
4,California,2006,42340898,55095108,70520010,43461846,113661039,-62987551,20421600,57800170,214923056,157122886,1.2E+11,2.21E+11,2.17E+11,1.14E+11,5114020238,36021202,1.73E+11,48564047619,"100,835,842,857",1.81538E+12,0.97,1.27,1.62,1.02,141.97,-0.2,0.53,3155.39,0.07,0.12,0.12,0.1,0.03,43,46,42,25,15,41,0.673,24242268.95,74884.92543
5,Colorado,2006,4601195,6166602,6722729,3323692,5915937,3293483,3398819,23262696,32502325,9239629,10010415476,22118176190,20240750000,5915936905,1860472619,4720423,49754231836,1229921429,"5,571,590,476",2.25586E+11,1.38,1.86,2.02,1.09,394.13,0.21,0.18,1253.26,0.04,0.1,0.09,0.22,0.01,32,17,16,4,43,16,0.673,3176844.679,71009.6031
6,Connecticut,2006,4181245,7341617,7558821,4188113,22725137,-11741273,3811045,-934362,25978888,26913250,14113095238,25978571429,25278785714,22725136905,700821429,3517460,42447772642,28442212443,"17,899,053,571",2.26923E+11,1,1.75,1.8,1.03,199.24,-0.31,0.87,6460.67,0.06,0.11,0.11,0.19,0.13,38,48,39,18,42,43,0.673,2367250.58,95859.14151
7,Delaware,2006,1427500,1721070,1898149,1107364,2664618,1388104,635610,6620194,10392176,3771982,3794067857,7092544048,6723867857,2664617857,368676190,859268,3459404135,3660476190,"2,383,544,048",42291527381,1.29,1.55,1.71,1.05,429.06,0.19,0.26,3101.03,0.09,0.17,0.16,0.08,0.09,37,32,25,45,9,39,0.673,578287.364,73132.3733
8,Florida ,2006,44072661,54417532,54591883,22625787,35961398,-8271638,15040742,66740424,125327608,58587185,42044047619,81611904762,79320172619,35961397619,2191717857,18166990,46465618231,5326488095,"24,566,666,667",8.37798E+11,1.95,2.41,2.41,1.03,120.64,0.05,0.29,1979.49,0.05,0.1,0.09,0.06,0.01,19,38,41,6,4,12,0.673,12226384.27,68523.79116
9,Georgia,2006,10108282,15049724,15408804,7074801,8782394,1630295,4680104,24955499,40812694,15857195,19237610714,42909790476,41371958333,8782394048,1537832143,9155813,32697140919,18599646429,"9,235,036,905",3.77838E+11,1.43,2.13,2.18,1.04,167.96,0.15,0.22,959.22,0.05,0.11,0.11,0.09,0.05,26,20,37,12,10,21,0.673,6161862.149,61318.83248
